batch_name,set_or_batch_number,local_image_filename,safe_hosted_filename,local_image_path,relative_hosting_path,public_image_url,image_position,image_size_bytes,hosting_status,notes
fw37thset_batch_23,37,fw37thset_batch_23_untitled-listing_img01_2026-05-26_083416.png,fw37thset-batch-23_01_fw37thset-batch-23-untitled-listing-img01-2026-05-26-083416.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw37thset_batch_23/Cropped_Images/fw37thset_batch_23_untitled-listing_img01_2026-05-26_083416.png,images/fw37thset-batch-23_01_fw37thset-batch-23-untitled-listing-img01-2026-05-26-083416.jpg,,1,247862,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw37thset_batch_23,37,fw37thset_batch_23_untitled-listing_img02_2026-05-26_083425.png,fw37thset-batch-23_02_fw37thset-batch-23-untitled-listing-img02-2026-05-26-083425.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw37thset_batch_23/Cropped_Images/fw37thset_batch_23_untitled-listing_img02_2026-05-26_083425.png,images/fw37thset-batch-23_02_fw37thset-batch-23-untitled-listing-img02-2026-05-26-083425.jpg,,2,253544,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw37thset_batch_23,37,fw37thset_batch_23_untitled-listing_img03_2026-05-26_083431.png,fw37thset-batch-23_03_fw37thset-batch-23-untitled-listing-img03-2026-05-26-083431.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw37thset_batch_23/Cropped_Images/fw37thset_batch_23_untitled-listing_img03_2026-05-26_083431.png,images/fw37thset-batch-23_03_fw37thset-batch-23-untitled-listing-img03-2026-05-26-083431.jpg,,3,187072,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw37thset_batch_23,37,fw37thset_batch_23_untitled-listing_img04_2026-05-26_083437.png,fw37thset-batch-23_04_fw37thset-batch-23-untitled-listing-img04-2026-05-26-083437.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw37thset_batch_23/Cropped_Images/fw37thset_batch_23_untitled-listing_img04_2026-05-26_083437.png,images/fw37thset-batch-23_04_fw37thset-batch-23-untitled-listing-img04-2026-05-26-083437.jpg,,4,227443,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw37thset_batch_23,37,fw37thset_batch_23_untitled-listing_img05_2026-05-26_083442.png,fw37thset-batch-23_05_fw37thset-batch-23-untitled-listing-img05-2026-05-26-083442.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw37thset_batch_23/Cropped_Images/fw37thset_batch_23_untitled-listing_img05_2026-05-26_083442.png,images/fw37thset-batch-23_05_fw37thset-batch-23-untitled-listing-img05-2026-05-26-083442.jpg,,5,196271,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw73rdset_batch_24,73,fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img01_2026-05-27_095149.png,fw73rdset-batch-24_01_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw73rdset_batch_24/Cropped_Images/fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img01_2026-05-27_095149.png,images/fw73rdset-batch-24_01_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,,1,270213,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw73rdset_batch_24,73,fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img02_2026-05-27_095156.png,fw73rdset-batch-24_02_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw73rdset_batch_24/Cropped_Images/fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img02_2026-05-27_095156.png,images/fw73rdset-batch-24_02_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,,2,205389,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw73rdset_batch_24,73,fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img03_2026-05-27_095202.png,fw73rdset-batch-24_03_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw73rdset_batch_24/Cropped_Images/fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img03_2026-05-27_095202.png,images/fw73rdset-batch-24_03_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,,3,198224,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw73rdset_batch_24,73,fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img04_2026-05-27_095209.png,fw73rdset-batch-24_04_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw73rdset_batch_24/Cropped_Images/fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img04_2026-05-27_095209.png,images/fw73rdset-batch-24_04_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,,4,234922,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
fw73rdset_batch_24,73,fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img05_2026-05-27_095214.png,fw73rdset-batch-24_05_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,/Users/kyle/Downloads/etsy_cropped_all_batches/MASTER_CLIENT_READY_Etsy_Image_Rescue_2026-05-29/02_All_Listings_By_Set/fw73rdset_batch_24/Cropped_Images/fw73rdset_batch_24_large-lightweight-shortie-blues-vintage-chenille-bathrobe-up_img05_2026-05-27_095214.png,images/fw73rdset-batch-24_05_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,,5,240661,candidate_only,Hosting copy is a high-quality JPEG. Original delivered PNG remains unchanged. Public URL not created in this environment.
