Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
manual-transcription-needed,[Manual transcription needed],<p>[Manual transcription needed]</p>,,,,,FALSE,Title,Default Title,FW-037-B23,,TRUE,TRUE,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw37thset-batch-23_01_fw37thset-batch-23-untitled-listing-img01-2026-05-26-083416.jpg,1,[Manual transcription needed],draft
manual-transcription-needed,,,,,,,,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw37thset-batch-23_02_fw37thset-batch-23-untitled-listing-img02-2026-05-26-083425.jpg,2,[Manual transcription needed],
manual-transcription-needed,,,,,,,,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw37thset-batch-23_03_fw37thset-batch-23-untitled-listing-img03-2026-05-26-083431.jpg,3,[Manual transcription needed],
manual-transcription-needed,,,,,,,,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw37thset-batch-23_04_fw37thset-batch-23-untitled-listing-img04-2026-05-26-083437.jpg,4,[Manual transcription needed],
manual-transcription-needed,,,,,,,,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw37thset-batch-23_05_fw37thset-batch-23-untitled-listing-img05-2026-05-26-083442.jpg,5,[Manual transcription needed],
large-lightweight-shortie-blues-vintage-chenille-bathrobe-upcycled-from-hand-tuf,"Large lightweight ""Shortie Blues"" vintage chenille bathrobe upcycled from hand tufted chenille bedspreads","<p>Requests for shorter (than ankle length) bathrobes...another! This one is a large (can fit
up to a woman&#x27;s size 16) and is full of fun flowers; front and back, even the cuffs.
Lightweight and soft, sleeves are an hombre style of blue tufting.
Large can fit up to a woman&#x27;s size 16, with pockets; machine washable too.
Chenille bedspreads were created and manufactured in the US during the 1930s to the
1950s; much of it was hand tufted. The hand tufting process was often a series of knots
tied in a pre-printed design onto cotton (muslin) fabric. These one-of-a-kind bedspreads
varied by the tufter, as well as by materials used.
The production of chenille stopped in the United States after about 1960, and much of it
is being up cycled and given new life. Since the supply of vintage chenille is limited and
finite, it has become more difficult to find! Although chenille is durable, it can suffer
wear over time that may take the form of thinning lines of chenille, skipped spots where
chenille has come out; small pinholes, or variations in color. If any of these
imnarfantione ara natal luill mantian tham in tha danarintion halaur
hut hamalien tha</p>",,,Bathrobe,"vintage, chenille, bathrobe, robe, upcycled, bedspread, flower, cotton, hand tufted",FALSE,Title,Default Title,FW-073-B24,,TRUE,TRUE,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw73rdset-batch-24_01_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,1,"Large lightweight ""Shortie Blues"" vintage chenille bathrobe upcycled from hand tufted chenille bedspreads",draft
large-lightweight-shortie-blues-vintage-chenille-bathrobe-upcycled-from-hand-tuf,,,,,Bathrobe,"vintage, chenille, bathrobe, robe, upcycled, bedspread, flower, cotton, hand tufted",,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw73rdset-batch-24_02_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,2,"Large lightweight ""Shortie Blues"" vintage chenille bathrobe upcycled from hand tufted chenille bedspreads",
large-lightweight-shortie-blues-vintage-chenille-bathrobe-upcycled-from-hand-tuf,,,,,Bathrobe,"vintage, chenille, bathrobe, robe, upcycled, bedspread, flower, cotton, hand tufted",,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw73rdset-batch-24_03_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,3,"Large lightweight ""Shortie Blues"" vintage chenille bathrobe upcycled from hand tufted chenille bedspreads",
large-lightweight-shortie-blues-vintage-chenille-bathrobe-upcycled-from-hand-tuf,,,,,Bathrobe,"vintage, chenille, bathrobe, robe, upcycled, bedspread, flower, cotton, hand tufted",,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw73rdset-batch-24_04_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,4,"Large lightweight ""Shortie Blues"" vintage chenille bathrobe upcycled from hand tufted chenille bedspreads",
large-lightweight-shortie-blues-vintage-chenille-bathrobe-upcycled-from-hand-tuf,,,,,Bathrobe,"vintage, chenille, bathrobe, robe, upcycled, bedspread, flower, cotton, hand tufted",,,,,,,,https://jonathankhobson.github.io/shareables/assets/etsy-image-rescue-2026-05-29/images/fw73rdset-batch-24_05_fw73rdset-batch-24-large-lightweight-shortie-blues-vintage-chenille-ba.jpg,5,"Large lightweight ""Shortie Blues"" vintage chenille bathrobe upcycled from hand tufted chenille bedspreads",
